List,ID,Time,Word,Translation
Favorites,-,,Empty list,
History,1590240,638615860568302072,"貸出, かしだし, 貸し出し, 貸出し","lending, loaning"
History,1512180,638615860246822395,"返却, へんきゃく","return of something, repayment"
History,1414170,638615858905781427,"大人, おとな, だいにん","adult, grown-up, முதிர் அகவையர்"
History,1315060,638615858100096429,"児童, じどう","children, juvenile"
History,1477390,638615857427029952,"発行, はっこう","publication (of a newspaper, magazine, book, etc.), issue, , issue (of banknotes, bonds, passport, etc.), raising (an event)"
History,1610040,638615856519824063,"所為, せい, せえ","consequence, outcome, result, blame, fault"
History,1374620,638615854999479571,"制, せい","system, organization, organisation, imperial command, laws, regulation, control, government, suppression, restraint, holding back, establishment"
History,1375190,638615854914258869,"姓, せい, しょう, そう","surname, family name, குடும்பப்பெயர், , hereditary title (used in ancient Japan to denote rank and political standing)"
History,2730730,638615854842239008,"静, せい","stillness, , quiet, peacefulness"
History,1375890,638615854760817414,"政, まつりごと, せい","rule, government"
History,1375020,638615854688835321,"勢, せい","energy, , military strength"
History,1379850,638615854614284033,"精, せい","spirit, sprite, nymph, , energy, vigor (vigour), strength, fine details, semen"
History,2100980,638615854183098866,"星, せい","Chinese ""star"" constellation (one of the 28 mansions), , Singapore"
History,2014450,638615854038256350,"聖, せい","Saint, St., S., புனிதமான, , sacred, holy, pure"
History,1004520,638615852722840885,"こっそり, コッソリ","stealthily, secretly, in secret"
History,2056770,638615852557717026,ごっそり,"completely, entirely, all, , in large amounts, a lot"
History,1380580,638615849937477992,"製, せい","-made, make"
History,1376590,638615849855931454,"正, せい","(logical) true, regular, , 10^40, ten thousand undecillion, original, positive, greater than zero, thesis (in dialectics)"
History,1236690,638615845892992099,"恐ろしい, おそろしい, 怖ろしい","terrible, dreadful, terrifying, frightening, , surprising, startling, tremendous, amazing"
History,1177390,638615845409808026,"猿, さる, 猨, サル","monkey (esp. the Japanese macaque, Macaca fuscata), ape, non-human primate, குரங்கு, , sly person, idiot, hick, sliding wooden bolt (for holding a door or window shut), clasp used to control the height of a pot-hook, bathhouse prostitute"
History,1311110,638612493797874275,"私, わたし","I, me, என், , நான்"
History,1415610,638607871634398559,"卓球, たっきゅう","table tennis, ping-pong, மேசைப்பந்தாட்டம்"
History,1537300,638607871599361596,"野球, やきゅう","baseball, அடிபந்தாட்டம்"
History,1430250,638607870418889249,"鳥, とり, 鶏, 禽, トリ","bird, பறவை, , bird meat (esp. chicken meat), fowl, poultry"
History,1451470,638607870111782919,"動物, どうぶつ","animal, விலங்கு, மிருகம்"
History,1538160,638607869864908026,"薬, くすり, クスリ","medicine, pharmaceuticals, (legal) drugs, pill, ointment, salve, மருந்து, , efficacious chemical (gunpowder, pesticide, etc.), (pottery) glaze, (illegal) drug, narcotic, small bribe"
History,1490230,638607869586983106,"病気, びょうき, 病氣","illness (usu. excluding minor ailments, e.g. common cold), disease, sickness, ரோகம், , bad habit, bad behaviour, weakness, failing, crazy, insane, disturbed, sick in the head, நோய், வியாதி"
History,1583720,638607868440406469,"風邪, かぜ, ふうじゃ","(common) cold, influenza, flu, ague, inflammatory respiratory system illness (in general), தடிமன்"
History,1499720,638607868380460652,"風, かぜ","wind, breeze, draught, draft, காற்று, , manner, behaviour, behavior, cold, influenza"
History,1577200,638607868040109919,"可愛い, かわいい, かわゆい, カワイイ, カワイい","cute, adorable, charming, lovely, pretty, அன்பான, , dear, precious, darling, pet, innocent, childlike, childish, lovable, dainty, little, tiny"
History,1432680,638607867472410620,"痛い, いたい, 甚い","painful, sore, ஐயோ, , cringy, embarrassing, exceeding"
History,1350040,638607867085071938,"消える, きえる","to disappear, to vanish, to go out of sight, to go away, to become lost, மறைந்துபோ, , to go out (of a fire, light, etc.), to die, to turn off (e.g. of a TV screen), to fade (of a feeling, impression, etc.), to vanish (e.g. of hope), to go away (e.g. of a smell, itchiness, sleepiness), to fade away (e.g. of footsteps), to wear away (e.g. of an inscription), to rub out (of writing), to fade (e.g. of ink), to be lost (e.g. of a tradition), to die out"
History,1329000,638607866727612328,"趣味, しゅみ","hobby, pastime, பொழுதுபோக்கு, , tastes, preference, liking"
History,1429700,638607865804696418,"飛ぶ, とぶ, 跳ぶ, 翔ぶ","to fly, to soar, பற, , to jump, to leap, to spring, to bound, to hop, to spatter, to scatter, to splash, to fly (e.g. of sparks), to hurry, to rush, to flee, to run off, to escape, to disappear, to vanish, to fade, to thin out, to break off, to come off, to fall off, to blow (of a fuse), to be sent out (of an order), to fly (of false rumours, catcalls, etc.), to come flying (of a punch, kick, etc.), to be missing (of a page, stitch, etc.), to skip, to jump (e.g. of a conversation)"
History,1217700,638607865427615558,"頑張る, がんばる","to persevere, to persist, to keep at it, to hang on, to hold out, to do one's best, , to insist that, to stick to (one's opinion), to remain in a place, to stick to one's post, to refuse to budge"
History,1602710,638607865124088036,"両親, りょうしん, ふたおや","parents, both parents, பெற்றோர்"
History,1552750,638607864823028955,"留学生, りゅうがくせい","overseas student, exchange student"
History,1312350,638607864362461306,"試験, しけん","examination, exam, test, , trial, experiment"
History,1012800,638602391182753424,"漸と, やっと","at last, finally, , barely, narrowly, just, by the skin of one's teeth"
History,1434180,638602389099840408,"低い, ひくい","low (rank, degree, value, content, quality, etc.), குள்ளமான, , low (position), close to the ground, short (height), deep (voice), in a low key, low (volume)"
History,2037250,638602388991981506,"迎えに行く, むかえにいく",to go to meet someone
History,1444780,638602388772108808,"登山, とざん","mountain climbing, ascending a mountain, ascent, மலையேற்றம்"
History,1436560,638602388502071214,"閉まる, しまる, 締まる, 緊まる","to be shut, to close, to be closed, , to be firm (of a body, face, etc.), to be well-knit, to be locked, to tighten, to be tightened, to become sober, to become tense"
